Human death toll,Volcano,VEI,Location,Year,Eruption
"71,000 to 250,100+",Mount Tambora,7,Indonesia,1815,"1815 eruption of Mount Tambora, Year Without a Summer"
"36,000+",Krakatoa,6,Indonesia,1883,1883 eruption of Krakatoa
30000,Mount Pelée,4,Martinique,1902,1902 eruption of Mount Pelée
23000,Nevado del Ruiz,3,Colombia,1985,Armero tragedy
"20,000~ (estimated)",Santorini,7,Greece,c. 1600 BC,Minoan eruption
"15,000 to 20,000",Mount Samalas,7,Indonesia,1257,1257 Samalas eruption
15000,Mount Unzen,2,Japan,1792,1792 Unzen earthquake and tsunami
"13,000+ (estimated)",Mount Vesuvius,5,Italy,79,Eruption of Mount Vesuvius in 79 AD
"10,000+",Laki and Grímsvötn,4,Iceland,1783,Laki#1783 eruption
10000,Kelud,5,Indonesia,1586,
6000,Santa María,6,Guatemala,1902,
5160,Kelud,4,Indonesia,1919,
4011,Mount Galunggung,5,Indonesia,1822,
3360,Mount Vesuvius,5,Italy,1631,1631 eruption of Mount Vesuvius
3000,Ritter Island,2,Papua New Guinea,1888,1888 Ritter Island eruption and tsunami
2957,Mount Papandayan,3,Indonesia,1772,
2942,Mount Lamington,4,Papua New Guinea,1951,1951 eruption of Mount Lamington
2806,Mount Awu,3,Indonesia,1856,
2033,Oshima Oshima,4,Japan,1741,1741 eruption of Oshima–Ōshima and the Kampo tsunami
2000,Tseax Cone,?,Canada,c. 1700,
1900,El Chichón,5,Mexico,1982,
1700,Soufrière,4,St. Vincent,1902,
1584,Mount Agung,5,Indonesia,1963,
1532,Mount Awu,3,Indonesia,1892,
1500,Huaynaputina,6,Peru,1600,
1369,Mount Merapi,3,Indonesia,1930,
1335,Taal,3,Philippines,1911,
1300,Gamalama,3,Indonesia,1775,
1200,Mount Mayon,4,Philippines,1814,
1151,Mount Asama,4,Japan,1783,Tenmei eruption
1000,Nevado del Ruiz,3,Colombia,1845,
847,Mount Pinatubo,6,Philippines,1991,1991 eruption of Mount Pinatubo
700,Hokkaido Komagatake,5,Japan,1640,
600,Nevado del Ruiz,4,Colombia,1595,
507,Tavurvur,4,Papua New Guinea,1937,
500,Hibok-Hibok,3,Philippines,1951,
477,Mount Bandai,4,Japan,1888,1888 eruption of Mount Bandai
426,Anak Krakatoa,3,Indonesia,2018,2018 Sunda Strait tsunami
416,Ruang,2,Indonesia,1871,1871 Ruang eruption and tsunami
400+,Kilauea,4,"Hawaii, United States",1790,Keanakakoi eruption
350 to 400,Mount Mayon,4,Philippines,1897,
353,Mount Merapi,4,Indonesia,2010,2010 eruptions of Mount Merapi
340,Cotopaxi,4,Ecuador,1877,
326,Makian,4,Indonesia,1861,
245,Nyiragongo,1,Democratic Republic of the Congo,2002,
216,Mount Vesuvius,4,Italy,1906,
"190 to 2,900",Volcán de Fuego,3,Guatemala,2018,2018 Volcán de Fuego eruption
160+,Paluweh,3,Indonesia,1928,
151,Mount Ruapehu,?,New Zealand,1953,Tangiwai disaster
150,Tori-shima,3,Japan,1902,
149,Dieng Volcanic Complex,1,Indonesia,1979,
144,Mount Tokachi,3,Japan,1926,
117,Dieng Volcanic Complex,2,Indonesia,1944,
114,Dieng Volcanic Complex,1,Indonesia,1964,
108 to 120,Mount Tarawera,5,New Zealand,1886,1886 eruption of Mount Tarawera
106,Dubbi,3,Eritrea,1861,
87,Volcán Arenal,3,Costa Rica,1968,
80,Mount Marapi,2,Indonesia,1979,
79,Mount Mayon,2,Philippines,1993,
70,Nyiragongo,1,Democratic Republic of the Congo,1977,
70~,Kolumbo,4,Greece,1650,
69,Semeru,4,Indonesia,2021,2021 Semeru eruption
64,Mount Merapi,2,Indonesia,1994,
63,Mount Ontake,3,Japan,2014,2014 Mount Ontake eruption
58,Sakurajima,4,Japan,1914,
