Nation,HDI,rank
Switzerland,0.962,1.0
Norway,0.961,2.0
Iceland,0.959,3.0
Hong Kong,0.952,4.0
Australia,0.951,5.0
Denmark,0.948,6.0
Sweden,0.947,7.0
Ireland,0.945,8.0
Germany,0.942,9.0
Netherlands,0.941,10.0
Finland,0.94,11.0
Singapore,0.939,12.0
Belgium,0.937,13.0
New Zealand,0.937,14.0
Canada,0.936,15.0
Liechtenstein,0.935,16.0
Luxembourg,0.93,17.0
United Kingdom,0.929,18.0
Japan,0.925,19.0
South Korea,0.925,20.0
United States,0.921,21.0
Israel,0.919,22.0
Malta,0.918,23.0
Slovenia,0.918,24.0
Austria,0.916,25.0
United Arab Emirates,0.911,26.0
Spain,0.905,27.0
France,0.903,28.0
Cyprus,0.896,29.0
Italy,0.895,30.0
Estonia,0.89,31.0
Czech Republic,0.889,32.0
Greece,0.887,33.0
Poland,0.876,34.0
Bahrain,0.875,35.0
Lithuania,0.875,36.0
Saudi Arabia,0.875,37.0
Portugal,0.866,38.0
Latvia,0.863,39.0
Andorra,0.858,40.0
Croatia,0.858,41.0
Chile,0.855,42.0
Qatar,0.855,43.0
San Marino,0.853,44.0
Slovakia,0.848,45.0
Hungary,0.846,46.0
Argentina,0.842,47.0
Turkey,0.838,48.0
Montenegro,0.832,49.0
Kuwait,0.831,50.0
Brunei,0.829,51.0
Russia,0.822,52.0
Romania,0.821,53.0
Oman,0.816,54.0
Bahamas,0.812,55.0
Kazakhstan,0.811,56.0
Trinidad and Tobago,0.81,57.0
Costa Rica,0.809,58.0
Uruguay,0.809,59.0
Belarus,0.808,60.0
Panama,0.805,61.0
Malaysia,0.803,62.0
Georgia,0.802,63.0
Mauritius,0.802,64.0
Serbia,0.802,65.0
Thailand,0.8,66.0
Albania,0.796,67.0
Bulgaria,0.795,68.0
Grenada,0.795,69.0
Barbados,0.79,70.0
Antigua and Barbuda,0.788,71.0
Seychelles,0.785,72.0
Sri Lanka,0.782,73.0
Bosnia and Herzegovina,0.78,74.0
Saint Kitts and Nevis,0.777,75.0
Iran,0.774,76.0
Ukraine,0.773,77.0
North Macedonia,0.77,78.0
China,0.768,79.0
Dominican Republic,0.767,80.0
Moldova,0.767,81.0
Palau,0.767,82.0
Cuba,0.764,83.0
Peru,0.762,84.0
Armenia,0.759,85.0
Mexico,0.758,86.0
Brazil,0.754,87.0
Colombia,0.752,88.0
Saint Vincent and the Grenadines,0.751,89.0
Maldives,0.747,90.0
Algeria,0.745,91.0
Azerbaijan,0.745,92.0
Tonga,0.745,93.0
Turkmenistan,0.745,94.0
Ecuador,0.74,95.0
Mongolia,0.739,96.0
Egypt,0.731,97.0
Tunisia,0.731,98.0
Fiji,0.73,99.0
Suriname,0.73,100.0
Uzbekistan,0.727,101.0
Dominica,0.72,102.0
Jordan,0.72,103.0
Libya,0.718,104.0
Paraguay,0.717,105.0
Palestine,0.715,106.0
Saint Lucia,0.715,107.0
Guyana,0.714,108.0
South Africa,0.713,109.0
Jamaica,0.709,110.0
Samoa,0.707,111.0
Gabon,0.706,112.0
Lebanon,0.706,113.0
Indonesia,0.705,114.0
Vietnam,0.703,115.0
Philippines,0.699,116.0
Botswana,0.693,117.0
Bolivia,0.692,118.0
Kyrgyzstan,0.692,119.0
Venezuela,0.691,120.0
Iraq,0.686,121.0
Tajikistan,0.685,122.0
Belize,0.683,123.0
Morocco,0.683,124.0
El Salvador,0.675,125.0
Nicaragua,0.667,126.0
Bhutan,0.666,127.0
Cape Verde,0.662,128.0
Bangladesh,0.661,129.0
Tuvalu,0.641,130.0
Marshall Islands,0.639,131.0
India,0.633,132.0
Ghana,0.632,133.0
Micronesia,0.628,134.0
Guatemala,0.627,135.0
Kiribati,0.624,136.0
Honduras,0.621,137.0
Sao Tome and Principe,0.618,138.0
Namibia,0.615,139.0
Laos,0.607,140.0
East Timor,0.607,141.0
Vanuatu,0.607,142.0
Nepal,0.602,143.0
Eswatini,0.597,144.0
Equatorial Guinea,0.596,145.0
Cambodia,0.593,146.0
Zimbabwe,0.593,147.0
Angola,0.586,148.0
Myanmar,0.585,149.0
Syria,0.577,150.0
Cameroon,0.576,151.0
Kenya,0.575,152.0
Republic of the Congo,0.571,153.0
Zambia,0.565,154.0
Solomon Islands,0.564,155.0
Comoros,0.558,156.0
Papua New Guinea,0.558,157.0
Mauritania,0.556,158.0
Ivory Coast,0.55,159.0
Tanzania,0.549,160.0
Pakistan,0.544,161.0
Togo,0.539,162.0
Haiti,0.535,163.0
Nigeria,0.535,164.0
Rwanda,0.534,165.0
Benin,0.525,166.0
Uganda,0.525,167.0
Lesotho,0.514,168.0
Malawi,0.512,169.0
Senegal,0.511,170.0
Djibouti,0.509,171.0
Sudan,0.508,172.0
Madagascar,0.501,173.0
Gambia,0.5,174.0
Ethiopia,0.498,175.0
Eritrea,0.492,176.0
Guinea-Bissau,0.483,177.0
Liberia,0.481,178.0
Democratic Republic of the Congo,0.479,179.0
Afghanistan,0.478,180.0
Sierra Leone,0.477,181.0
Guinea,0.465,182.0
Yemen,0.455,183.0
Burkina Faso,0.449,184.0
Mozambique,0.446,185.0
Mali,0.428,186.0
Burundi,0.426,187.0
Central African Republic,0.404,188.0
Niger,0.4,189.0
Chad,0.394,190.0
South Sudan,0.385,191.0
Undersea Features,,
Antarctica,,
Martinique,,
North Korea,,
