index,Human Death Toll (Min),Human Death Toll (Max),Volcano,Location,Year,VEI
0,71000.0,250000.0,Mount Tambora,Indonesia,1815,7
1,36000.0,36000.0,Krakatoa,Indonesia,1883,6
2,30000.0,30000.0,Mount Pelée,Martinique,1902,4
3,23000.0,23000.0,Nevado del Ruiz,Colombia,1985,3
4,20000.0,20000.0,Santorini,Greece,-1600,7
5,15000.0,20000.0,Mount Samalas,Indonesia,1257,7
6,15000.0,15000.0,Mount Unzen,Japan,1792,2
7,13000.0,13000.0,Mount Vesuvius,Italy,79,5
8,10000.0,10000.0,Laki and Grímsvötn,Iceland,1783,4
9,10000.0,10000.0,Kelud,Indonesia,1586,5
10,6000.0,6000.0,Santa María,Guatemala,1902,6
11,5160.0,5160.0,Kelud,Indonesia,1919,4
12,4011.0,4011.0,Mount Galunggung,Indonesia,1822,5
13,3360.0,3360.0,Mount Vesuvius,Italy,1631,5
14,3000.0,3000.0,Ritter Island,Papua New Guinea,1888,2
15,2957.0,2957.0,Mount Papandayan,Indonesia,1772,3
16,2942.0,2942.0,Mount Lamington,Papua New Guinea,1951,4
17,2806.0,2806.0,Mount Awu,Indonesia,1856,3
18,2033.0,2033.0,Oshima Oshima,Japan,1741,4
19,2000.0,2000.0,Tseax Cone,Canada,1700,
20,1900.0,1900.0,El Chichón,Mexico,1982,5
21,1700.0,1700.0,Soufrière,Saint Vincent and the Grenadines,1902,4
22,1584.0,1584.0,Mount Agung,Indonesia,1963,5
23,1532.0,1532.0,Mount Awu,Indonesia,1892,3
24,1500.0,1500.0,Huaynaputina,Peru,1600,6
25,1369.0,1369.0,Mount Merapi,Indonesia,1930,3
26,1335.0,1335.0,Taal,Philippines,1911,3
27,1300.0,1300.0,Gamalama,Indonesia,1775,3
28,1200.0,1200.0,Mount Mayon,Philippines,1814,4
29,1151.0,1151.0,Mount Asama,Japan,1783,4
30,1000.0,1000.0,Nevado del Ruiz,Colombia,1845,3
31,847.0,847.0,Mount Pinatubo,Philippines,1991,6
32,700.0,700.0,Hokkaido Komagatake,Japan,1640,5
33,600.0,600.0,Nevado del Ruiz,Colombia,1595,4
34,507.0,507.0,Tavurvur,Papua New Guinea,1937,4
