VolcanoID,V_Name,Country,Region,Subregion,Latitude,Longitude,PEI,H_active,VEI_Holoce,hazard,class,risk
210010,West Eifel Volcanic Field,Germany,Mediterranean and W Asia,Western Europe,50.17,6.85,6,0,Unknown VEI,,U-HR,
210020,Cha?ne des Puys,France,Mediterranean and W Asia,Western Europe,45.77499999999991,2.97,7,0,Unknown VEI,,U-HR,
210030,Olot Volcanic Field,Spain,Mediterranean and W Asia,Western Europe,42.17,2.53,5,0,No confirmed eruptions,,U-NHHR,
210040,Calatrava Volcanic Field,Spain,Mediterranean and W Asia,Western Europe,38.86999999999991,-4.02,6,0,Unknown VEI,,U-HR,
211001,Larderello,Italy,Mediterranean and W Asia,Italy,43.25,10.8699999999999,4,0,3,,U-HR,
211003,Vulsini,Italy,Mediterranean and W Asia,Italy,42.6,11.93,5,0,Unknown VEI,,U-HR,
211004,Alban Hills,Italy,Mediterranean and W Asia,Italy,41.72999999999991,12.6999999999999,7,0,No confirmed eruptions,,U-NHHR,
211010,Campi Flegrei,Italy,Mediterranean and W Asia,Italy,40.82699999999991,14.1389999999999,7,1,5,3.0,,3.0
211020,Vesuvius,Italy,Mediterranean and W Asia,Italy,40.82099999999991,14.426,7,1,5,3.0,,3.0
211030,Ischia,Italy,Mediterranean and W Asia,Italy,40.72999999999991,13.897,5,0,3,,U-HR,
211031,Palinuro,Italy,Mediterranean and W Asia,Italy,39.47999999999991,14.83,2,0,Unknown VEI,,U-HR,
211040,Stromboli,Italy,Mediterranean and W Asia,Italy,38.789,15.2129999999999,3,1,3,1.0,,1.0
211041,Panarea,Italy,Mediterranean and W Asia,Italy,38.63,15.07,3,0,No confirmed eruptions,,U-NHHR,
211042,Lipari,Italy,Mediterranean and W Asia,Italy,38.47999999999991,14.9499999999999,5,0,Unknown VEI,,U-HR,
211050,Vulcano,Italy,Mediterranean and W Asia,Italy,38.404,14.962,4,1,4,3.0,,3.0
211060,Etna,Italy,Mediterranean and W Asia,Italy,37.734,15.004,5,1,5,2.0,,2.0
211070,Campi Flegrei Mar Sicilia,Italy,Mediterranean and W Asia,Italy,37.1,12.6999999999999,6,1,3,1.0,,2.0
211071,Pantelleria,Italy,Mediterranean and W Asia,Italy,36.77,12.02,4,1,1,,U-HHR,
212020,Methana,Greece,Mediterranean and W Asia,Greece,37.615,23.3359999999999,4,0,3,,U-HR,
212030,M?los,Greece,Mediterranean and W Asia,Greece,36.69899999999991,24.439,3,0,1,,U-HR,
212040,Santorini,Greece,Mediterranean and W Asia,Greece,36.404,25.396,4,1,7,3.0,,3.0
212050,Nisyros,Greece,Mediterranean and W Asia,Greece,36.58599999999991,27.16,2,1,2,2.0,,1.0
212051,Yali,Greece,Mediterranean and W Asia,Greece,36.67099999999991,27.14,2,0,No confirmed eruptions,,U-NHHR,
213000,Kula,Turkey,Mediterranean and W Asia,Turkey,38.57999999999991,28.52,5,0,No confirmed eruptions,,U-NHHR,
213001,Karapinar Field,Turkey,Mediterranean and W Asia,Turkey,37.67,33.6499999999999,5,0,No confirmed eruptions,,U-NHHR,
213002,Hasan Dagi,Turkey,Mediterranean and W Asia,Turkey,38.13,34.17,4,0,No confirmed eruptions,,U-NHHR,
213003,G?ll? Dag,Turkey,Mediterranean and W Asia,Turkey,38.25,34.57,4,0,No confirmed eruptions,,U-NHHR,
213004,Acig?l-Nevsehir,Turkey,Mediterranean and W Asia,Turkey,38.57,34.52,6,0,Unknown VEI,,U-HR,
213010,Erciyes Dagi,Turkey,Mediterranean and W Asia,Turkey,38.52,35.4799999999999,5,0,Unknown VEI,,U-HR,
213011,Karaca Dag,Turkey,Mediterranean and W Asia,Turkey,37.67,39.82999999999991,4,0,No confirmed eruptions,,U-NHHR,
213020,Nemrut Dagi,Turkey,Mediterranean and W Asia,Turkey,38.64999999999991,42.22999999999991,4,1,Unknown VEI,,U-HHR,
213021,S?phan Dagi,Turkey,Mediterranean and W Asia,Turkey,38.92,42.82,4,0,Unknown VEI,,U-HR,
213022,Girekol Tepe,Turkey,Mediterranean and W Asia,Turkey,39.192,43.21699999999991,4,0,No confirmed eruptions,,U-NHHR,
213030,Tend?rek Dagi,Turkey,Mediterranean and W Asia,Turkey,39.36999999999991,43.86999999999991,4,1,Unknown VEI,,U-HHR,
213040,Ararat,Turkey,Mediterranean and W Asia,Turkey,39.7,44.29999999999991,4,1,3,,U-HHR,
213050,Kars Plateau,Turkey,Mediterranean and W Asia,Turkey,40.75,43.25,7,0,No confirmed eruptions,,U-NHHR,
214010,Elbrus,Russia,Mediterranean and W Asia,Western Asia,43.32999999999991,42.45,3,0,Unknown VEI,,U-HR,
214020,Kasbek,Georgia,Mediterranean and W Asia,Western Asia,42.7,44.5,3,0,Unknown VEI,,U-HR,
214030,Kabargin Oth Group,Georgia,Mediterranean and W Asia,Western Asia,42.54999999999991,44.0,3,0,No confirmed eruptions,,U-NHHR,
214040,Unnamed,Georgia,Mediterranean and W Asia,Western Asia,42.45,44.25,3,0,No confirmed eruptions,,U-NHHR,
214050,Unnamed,Georgia,Mediterranean and W Asia,Western Asia,41.54999999999991,43.6,4,0,No confirmed eruptions,,U-NHHR,
214060,Aragats,Armenia,Mediterranean and W Asia,Western Asia,40.53,44.2,4,0,No confirmed eruptions,,U-NHHR,
214070,Ghegam Ridge,Armenia,Mediterranean and W Asia,Western Asia,40.27499999999991,44.75,7,0,0,,U-HR,
214080,Dar-Alages,Armenia,Mediterranean and W Asia,Western Asia,39.7,45.542,5,0,Unknown VEI,,U-HR,
214090,Porak,Armenia-Azerbaijan,Mediterranean and W Asia,Western Asia,40.02,45.78,3,0,Unknown VEI,,U-HR,
214100,Tskhouk-Karckar,Armenia-Azerbaijan,Mediterranean and W Asia,Western Asia,39.72999999999991,46.02,3,0,Unknown VEI,,U-HR,
221010,Tair Jebel at,Yemen,Africa and Red Sea,Africa (northeastern) and Red Sea,15.55,41.82999999999991,2,1,3,1.0,,1.0
221020,Zubair Group,Yemen,Africa and Red Sea,Africa (northeastern) and Red Sea,15.05,42.18,2,1,2,,U-HHR,
221021,Zukur,Yemen,Africa and Red Sea,Africa (northeastern) and Red Sea,14.02,42.75,3,0,No confirmed eruptions,,U-NHHR,
